issue,experiment_slug,variant,seed,metric,value,params,date
69,001-baseline-collapse-avoidance,full,0,effective_rank,2.779,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,1,effective_rank,2.352,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,2,effective_rank,2.791,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,0,effective_rank,1.389,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,1,effective_rank,1.459,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,2,effective_rank,1.250,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,0,effective_rank,2.934,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,1,effective_rank,2.461,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,2,effective_rank,2.437,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,0,embedding_std,0.4951,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,1,embedding_std,0.5311,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,2,embedding_std,0.4933,"{""steps"":3000,""ema_momentum"":0.996,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,0,embedding_std,0.4779,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,1,embedding_std,0.3439,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,2,embedding_std,0.1640,"{""steps"":3000,""use_ema"":false,""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,0,embedding_std,0.0179,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,1,embedding_std,0.0156,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,2,embedding_std,0.0114,"{""pooling"":""per_patch"",""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,0,probe_r2_superseded_104,0.1491,"{""superseded_by"":104,""steps"":3000,""ema_momentum"":0.996,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,1,probe_r2_superseded_104,0.4542,"{""superseded_by"":104,""steps"":3000,""ema_momentum"":0.996,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,full,2,probe_r2_superseded_104,0.1688,"{""superseded_by"":104,""steps"":3000,""ema_momentum"":0.996,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,0,probe_r2_superseded_104,0.1883,"{""superseded_by"":104,""steps"":3000,""use_ema"":false,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,1,probe_r2_superseded_104,0.1257,"{""superseded_by"":104,""steps"":3000,""use_ema"":false,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,no_ema,2,probe_r2_superseded_104,0.1660,"{""superseded_by"":104,""steps"":3000,""use_ema"":false,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,0,probe_r2_superseded_104,0.9762,"{""superseded_by"":104,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,1,probe_r2_superseded_104,0.1001,"{""superseded_by"":104,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
69,001-baseline-collapse-avoidance,random_init,2,probe_r2_superseded_104,0.1741,"{""superseded_by"":104,""pooling"":""flatten"",""n_train"":4000,""n_test"":300}",2026-08-03
97,002-momentum-collapse-boundary,full_m0,0,effective_rank,1.6147,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,embedding_std,0.3142,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,effective_rank,2.3568,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,embedding_std,0.3485,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,effective_rank,3.4731,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,embedding_std,0.3918,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,effective_rank,3.8986,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,0,embedding_std,0.2971,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,effective_rank,1.6989,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,embedding_std,0.3262,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,effective_rank,1.9244,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,embedding_std,0.4939,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,effective_rank,2.3795,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,embedding_std,0.5286,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,effective_rank,3.7647,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,1,embedding_std,0.2328,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,effective_rank,1.6322,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,embedding_std,0.1696,"{""momentum"":0,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,effective_rank,1.8812,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,embedding_std,0.3985,"{""momentum"":0,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,effective_rank,2.9472,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,embedding_std,0.5041,"{""momentum"":0,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,effective_rank,3.8224,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0,2,embedding_std,0.2955,"{""momentum"":0,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,effective_rank,1.6140,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,embedding_std,0.3125,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,effective_rank,2.2707,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,embedding_std,0.3513,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,effective_rank,3.3744,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,embedding_std,0.4204,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,effective_rank,3.8019,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,0,embedding_std,0.3110,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,effective_rank,1.6905,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,embedding_std,0.3260,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,effective_rank,1.9348,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,embedding_std,0.4801,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,effective_rank,2.3964,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,embedding_std,0.5474,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,effective_rank,3.6953,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,1,embedding_std,0.2169,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,effective_rank,1.6257,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,embedding_std,0.1704,"{""momentum"":0.9,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,effective_rank,1.8755,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,embedding_std,0.4214,"{""momentum"":0.9,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,effective_rank,2.9916,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,embedding_std,0.4934,"{""momentum"":0.9,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,effective_rank,3.9294,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9,2,embedding_std,0.2908,"{""momentum"":0.9,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,effective_rank,1.6140,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,embedding_std,0.3052,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,effective_rank,2.1763,"{""momentum"":0.99,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,embedding_std,0.3501,"{""momentum"":0.99,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,effective_rank,2.9925,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,embedding_std,0.5115,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,effective_rank,3.4782,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,0,embedding_std,0.3567,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,effective_rank,1.6719,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,embedding_std,0.3085,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,effective_rank,1.8541,"{""momentum"":0.99,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,embedding_std,0.4734,"{""momentum"":0.99,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,effective_rank,2.2753,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,embedding_std,0.5565,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,effective_rank,3.7952,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,1,embedding_std,0.2241,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,effective_rank,1.6189,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,embedding_std,0.1763,"{""momentum"":0.99,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,effective_rank,1.7840,"{""momentum"":0.99,""steps"":1000}",2026-08-14
